,prices,titles,url
0,"2,735円",ポポロクロイス物語 PSP the Best ピエトロ王子の冒険 PSP the Best,http://books.rakuten.co.jp/rb/13164211/
1,"3,579円",ファイナルファンタジーIII PSP版,http://books.rakuten.co.jp/rb/11738056/
2,"1,830円",パタポン 2 ドンチャカ♪ PSP the Best,http://books.rakuten.co.jp/rb/11899942/
3,"2,859円",アルティメット ヒッツ キングダム ハーツ バース バイ スリープ ファイナル ミックス,http://books.rakuten.co.jp/rb/11934438/
4,"2,872円",アルティメット ヒッツ ファイナルファンタジーIV コンプリートコレクション,http://books.rakuten.co.jp/rb/11682996/
5,"2,962円",ペルソナ3ポータブル PSP the Best,http://books.rakuten.co.jp/rb/11236598/
6,"2,756円",アルティメットヒッツ ファイナルファンタジーII,http://books.rakuten.co.jp/rb/6092188/
7,"2,756円",アルティメットヒッツ ファイナルファンタジー,http://books.rakuten.co.jp/rb/6092187/
8,"2,751円",ULTIMATE HITS スターオーシャン2 セカンド エヴォリューション,http://books.rakuten.co.jp/rb/6225983/
9,"2,756円",アルティメットヒッツ ファイナルファンタジータクティクス 獅子戦争,http://books.rakuten.co.jp/rb/6092189/
10,"2,756円",アルティメットヒッツ クライシス コア ファイナルファンタジーVII,http://books.rakuten.co.jp/rb/6092190/
11,"1,758円",俺の屍を越えてゆけ PSP the Best,http://books.rakuten.co.jp/rb/12628225/
12,"3,734円",ワールドネバーランド 2in1 Portable オルルド王国物語&プルト共和国物語,http://books.rakuten.co.jp/rb/5860557/
13,"2,756円",アルティメットヒッツ ヴァルキリープロファイルーレナスー,http://books.rakuten.co.jp/rb/5975917/
14,"6,242円",死神と少女,http://books.rakuten.co.jp/rb/11184351/
15,"2,756円",ULTIMATE HITS スターオーシャン1 ファースト ディパーチャー,http://books.rakuten.co.jp/rb/6225982/
16,"4,402円",ダンボール戦機W PSP版,http://books.rakuten.co.jp/rb/11742936/
17,"2,592円",ジャンヌ・ダルク PSP the Best,http://books.rakuten.co.jp/rb/13164195/
18,"2,859円",アルティメット ヒッツ キングダム ハーツ バース バイ スリープ,http://books.rakuten.co.jp/rb/11934437/
19,"1,665円",白騎士物語 -episode．portable- ドグマ・ウォーズ PSP the Best,http://books.rakuten.co.jp/rb/11899943/
20,"2,592円",グランナイツヒストリー PSP the Best,http://books.rakuten.co.jp/rb/11768320/
21,"2,721円",英雄伝説 碧の軌跡 PSP the Best,http://books.rakuten.co.jp/rb/12440297/
22,"1,846円",CONCEPTION 俺の子供を産んでくれ！ PSP the Best,http://books.rakuten.co.jp/rb/12201487/
23,"5,227円",サモンナイト5,http://books.rakuten.co.jp/rb/12220514/
24,"2,872円",電撃SP デュラララ！！ 3way standoff -alley-,http://books.rakuten.co.jp/rb/12161840/
25,"3,693円",FRONTIER GATE Boost＋,http://books.rakuten.co.jp/rb/12186203/
26,"4,609円",Coded Soul - 受け継がれしイデア -,http://books.rakuten.co.jp/rb/13164161/
27,"2,592円",VALHALLA KNIGHTS PSP the Best,http://books.rakuten.co.jp/rb/13164182/
28,"2,872円",英雄伝説 零の軌跡 PSP the Best,http://books.rakuten.co.jp/rb/12140534/
29,"2,872円",幻想水滸伝 紡がれし百年の時 PSP the Best,http://books.rakuten.co.jp/rb/12121420/
